#defaultCSS=fill:#aa00ff; fill-opacity:0.5; stroke:#ffffff; stroke-opacity:1.0; stroke-width:1.0; symbol:cross
ShipDetections	geometry:Point	Detected_x:Integer	Detected_y:Integer	Detected_lat:Double	Detected_lon:Double	Detected_width:Double	Detected_length:Double	style_css:String
target_109	POINT (14199 1231)	14199	1231	24.832172478178833	67.3649925152128	70.0	80.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_110	POINT (14484 1387)	14484	1387	24.82274760064384	67.33441985265578	30.0	20.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_111	POINT (14680 1115)	14680	1115	24.850517934564905	67.32030829310277	70.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_112	POINT (14843 1315)	14843	1315	24.83514513111277	67.3007607563637	60.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_113	POINT (14758 1340)	14758	1340	24.831497055613703	67.30862513872762	50.0	70.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_114	POINT (14126 1137)	14126	1137	24.839460807064366	67.3738098125102	50.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_115	POINT (14035 1170)	14035	1170	24.835040042352066	67.38206972188742	30.0	30.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_116	POINT (14099 1200)	14099	1200	24.833382520141093	67.37529695172795	30.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_117	POINT (14990 1304)	14990	1304	24.83848776569295	67.28664852115219	20.0	40.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_118	POINT (14934 1349)	14934	1349	24.833516796475774	67.2912793657308	60.0	60.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_119	POINT (14928 1358)	14928	1358	24.83265243797565	67.29170863857088	100.0	90.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
target_120	POINT (15455 1194)	15455	1194	24.856026416647126	67.24340632054788	60.0	50.0	fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle
